question,category,options,answer,explanation
食道アカラシアについて正しいものはどれか。,臨床,a.ヘリコバクター・ピロリ菌感染との関連が強い|b.食道造影検査で拡張型と紡錘型を分類する|c.食道バルーン拡張の適応である|d.食道内圧検査が有用である|e.下部食道括約筋圧の低下が原因である,c,食道アカラシアの治療には薬物療法、内視鏡的バルーン拡張術、POEM（経口内視鏡的筋層切開術）、外科手術がある。病態は下部食道括約筋（LES）の弛緩不全（圧の上昇）であり、ピロリ菌との関連はない。
胃癌について間違いはどれか。,臨床,a.フソバクテリウムと関連がある|b.萎縮性胃炎と関連がある|c.男性より女性に多い|d.早期胃癌の診断には色素散布が有用である|e.早期胃癌の診断にヨード染色が有用である,e,ヨード染色は食道（扁平上皮）の病変診断に用いられる。胃癌はピロリ菌感染による萎縮性胃炎との関連が強く、男性に多い。フソバクテリウムは大腸癌との関連が示唆されているが、口腔内常在菌であり消化器癌全体での関連も研究されている。
75歳の男性。心筋梗塞後でバイアスピリンとワーファリン内服中。総胆管結石胆管炎で緊急内視鏡的胆道ドレナージ術を施行する。準備する必要がないものはどれか。,処置,a.内視鏡的経鼻胆管ドレナージチューブあるいは胆管ステント|b.パピロトームと高周波装置|c.点滴|d.造影用カテーテル|e.鎮静薬,b,胆管炎に対する第一選択は内視鏡的胆道ドレナージである。パピロトーム（EST用ナイフ）はEST（内視鏡的乳頭括約筋切開術）を行うための器具だが、抗血栓薬2剤内服中のため出血リスクが高く、ESTは避けてドレナージチューブ留置のみを行うべきである。
ERCP後膵炎に対して内視鏡的硬化療法が禁忌なのはどれか。,処置,a.肝性脳症IV度|b.T-Bil 2.0mg/dl|c.血小板 5万/μl|d.血清アルブミン 3.0g/dl|e.（１）、（２）,a,（解説文脈より食道静脈瘤硬化療法EISの禁忌を問う問題の可能性が高いが、ソースの設問に従う）重篤な肝障害（肝性脳症、黄疸、腹水等）やDICなどは硬化療法の禁忌となる。
下記のなかで最も口側に存在するのはどれか。,基礎,a.Cecum|b.Duodenum|c.Ileum|d.Jejunum|e.Rectum,b,a:盲腸、b:十二指腸、c:回腸、d:空腸、e:直腸。解剖学的に口側に最も近いのは十二指腸である。
内視鏡の洗浄・消毒について正しいのはどれか。,管理,a.内視鏡洗浄・消毒の前に感染を調べておく|b.使用後の内視鏡は、すでに内視鏡シンクに持っていければベッドサイド洗浄の必要はない|c.グルタラール製剤は濃度が保たれていればいつまでも使用可能である|d.内視鏡洗浄機の消毒は、感染源なので消毒をおこなくてよい|e.強酸性水は内視鏡の消毒として使用されている,e,使用後の内視鏡は、乾燥を防ぐため直ちにベッドサイドで酵素洗剤吸引・送気送水を行う（プレクリーニング）。グルタラールには使用期限がある。強酸性水は一部で使用されているが認可された高水準消毒薬の使用が推奨される。
内視鏡的進行性胆管審査造影法関連手技において避けるべき手技と、その偶発症の組み合わせについて、誤っているものはどれか。,処置,a.黒色便……内視鏡的乳頭括約筋切開術（出血）|b.発熱……胆管造影（胆管炎）|c.高熱……胆管炎|d.背部痛……内視鏡的乳頭括約筋切開術（穿孔）|e.黄疸……内視鏡的乳頭部切除,e,内視鏡的乳頭切除術（パピレクトミー）などにより胆管出口が狭窄・閉塞すれば黄疸をきたすが、「避けるべき手技」という文脈では偶発症との対応を問うている。出血なら黒色便、穿孔なら背部痛、胆管炎なら発熱・黄疸などが生じる。
消化管について誤りはどれか。,基礎,a.胃体部の筋層は外縦・中輪・内斜筋の3層からなる|b.胃は穹窿部・胃体部・胃角部・前庭部の順で並んでいる|c.小腸は十二指腸・空腸・回腸からなり、6～7mの長さがある|d.S状結腸は後腹膜腔に存在する|e.肝弯曲は右腎前面に接する,d,S状結腸は腹膜内器官であり腸間膜を有する。後腹膜腔に存在するのは十二指腸（球部除く）、上行結腸、下行結腸、直腸の一部である。
膵臓のランゲルハンス島から分泌されるホルモンで正しいのはどれか。,基礎,a.インスリン|b.グルカゴン|c.ソマトスタチン|d.アドレナリン|e.コレシストキニン,a,膵臓のランゲルハンス島からは、A細胞（グルカゴン）、B細胞（インスリン）、D細胞（ソマトスタチン）などが分泌される。アドレナリンは副腎髄質、コレシストキニンは小腸から分泌される。
腫瘍マーカーについて正しいものはどれか。,臨床,a.NSEは神経内分泌細胞由来の腫瘍で大量に産生される|b.SCCは腺癌の腫瘍マーカーとして用いる|c.CEAは早期癌の発見に有用である|d.CA19-9は膵癌特異性が高い|e.DUPAN-2は消化器癌、特に膵癌・胆道癌に対して鋭敏である,a&e,SCCは扁平上皮癌のマーカー。CEAは腺癌のマーカーだが早期発見には不向き。CA19-9は膵癌・胆道癌で上昇するが特異性はそれほど高くない。NSEは小細胞癌や神経内分泌腫瘍で上昇する。
